District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
Mzimba,MZ,577,,0,Kaswavipindi private Clinic,Dispensary,Private for profit,Urban,,-11.90057,33.59465,,,,,,,
Mzimba,MZ,578,MCM/C/13,578,Masm Medi Clinic Katoto,Dispensary,Private for profit,Urban,,-11.47111,33.99535,,,,,,,
Mzimba,MZ,579,,0,"Chibanja Private Clinic, Mtika",Dispensary,Private for profit,Urban,,-11.45108,34.01178,,,,,,,
Mzimba,MZ,565,,565,Mumbwe Medical Centre,Dispensary,Private for profit,Urban,,-11.46115,34.02599,,,,,,,
Mzimba,MZ,580,,0,Vitumbiko Private Clinic,Dispensary,Private for profit,Urban,,-11.46986,34.06929,,,,,,,
Mzimba,MZ,581,,581,"Care Medical Centre, Mtambo, M",Dispensary,Private for profit,Urban,,-11.46036,34.00696,,,,,,,
Mzimba,MZ,582,MCM/C/124,582,Macro Mzuzu,Dispensary,NGO,Urban,,-11.4649,34.00439,,,,,,,
Mzimba,MZ,570,MCM/C/075,570,BLM Mzimba Clinic,Dispensary,NGO,Urban,,-11.89882,33.59402,,,,,,,
Mzimba,MZ,550,MCM/C/077,550,BLM Mzuzu  Clinic,Dispensary,NGO,Urban,,-11.45612,34.01638,,,,,,,
Mzimba,MZ,583,MCM/C/93,0,Raiply Clinic,Dispensary,Company,Rural,,-11.91644,33.75598,,,,,,,
Mzimba,MZ,584,MCM/C/182,0,Auction Holdings Clinic,Dispensary,Private for profit,Urban,,-11.46341,34.02053,,,,,,,
Mzimba,MZ,585,,585,Moyale Barracks Clinics,Dispensary,Government/public,Urban,,-11.45976,34.03829,,,,,,,
Mzimba,MZ,586,,0,Mzimba Prison,Dispensary,Government/public,Urban,,-11.9107,33.58414,,,,,,,
Mzimba,MZ,587,,0,Mzuzu Police Clinic,Dispensary,Government/public,Urban,,-11.46211,34.02489,,,,,,,
Mzimba,MZ,588,MCM/C/87,0,Southern Bottlers Ltd. Clinic,Dispensary,Company,Urban,,-11.41853,34.00645,,,,,,,
Mzimba,MZ,589,MCM/C/022,589,Mzuzu University Clinic,Dispensary,Private for profit,Urban,,-11.42175,33.99564,,,,,,,
Mzimba,MZ,590,MCM/C/126,0,SOS Medical Centre,Dispensary,Private for profit,Urban,,-11.47174,34.00439,,,,,,,
Mzimba,MZ,591,,591,Manolo Health Center,Health Centre,Private for profit,Urban,,,,,,,,,,
Mzimba,MZ,6001,,0,Chagoma,Health Post,Government/public,Rural,,-11.214085,33.807507,,,,,,,
Mzimba,MZ,6002,,0,Madise I,Health Post,Government/public,Rural,,-11.263586,33.780672,,,,,,,
Mzimba,MZ,6003,,0,Kapangamawe,Health Post,Government/public,Rural,,-11.449527,33.680755,,,,,,,
Mzimba,MZ,6004,,0,Gowoka,Health Post,Government/public,Rural,,-11.518401,33.626397,,,,,,,
Mzimba,MZ,6005,,0,St Anne'S,Health Post,Government/public,Rural,,-11.48708,33.588453,,,,,,,
Mzimba,MZ,6006,,0,Chololo,Health Post,Government/public,Rural,,-11.014233,33.972657,,,,,,,
Mzimba,MZ,6007,,0,Katope,Health Post,Government/public,Rural,,-11.074251,34.007405,,,,,,,
Mzimba,MZ,6008,,0,Kamanda,Health Post,Government/public,Rural,,-11.149343,34.032283,,,,,,,
Mzimba,MZ,6009,,0,Chilukwa,Health Post,Christian Health Association of Malawi (CHAM),Rural,,-11.286936,33.821297,,,,,,,
Mzimba,MZ,6010,,0,Mphofwa,Health Post,Government/public,Rural,,-11.680054,33.620114,,,,,,,
Mzimba,MZ,6011,,0,Luviri,Health Post,Government/public,Rural,,-12.2033,33.665772,,,,,,,
Mzimba,MZ,6012,,0,Vibangalala,Dispensary,Government/public,Rural,,-12.234379,33.486162,,,,,,,
Mzimba,MZ,6013,,0,Mgoza,Health Post,Government/public,Rural,,-12.67329,33.831326,,,,,,,
Mzimba,MZ,6014,,6014,Kaweche Health Centre,Health Centre,Government/public,Rural,,,,,,,R,,,TA Mabulabo
Mzimba,MZ,6015,,578,Masm Medi Clinic Katoto,Health Centre,Private for profit,U,,-11.47111,33.99535,,,,U,,,Mzuzu City
Mzimba,MZ,6016,,6016,Mzuzu Central Prison,Dispensary,Government/public,U,,-11.46474,34.01991,,,,U,,,Mzuzu City
Mzimba,MZ,6017,,6017,Wezi Medical Centre,Health Centre,Private for profit,U,,,,,,,U,,,Mzuzu City
Mzimba,MZ,6018,,6018,Padley PIO,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Mzimba,MZ,6019,,0,Tovwirane Private,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6020,MCM/C/188,0,Kavuzi Clinic - Kawalazi Estate Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6021,MCM/C/210,0,Kavuzi New Cummock Clinic - Kajalire CCAP,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Mzimba,MZ,6022,MCM/C/187,0,Kawalazi Estate Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6023,MCM/C/186,0,Rafiki Foundation Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6024,MCM/C/24,0,Vision Care,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6025,MCM/C/369,0,Partners in Christ Medical Centre,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6026,MCM/C/364,0,Mapale Medical Life Centre,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6027,MCM/C/266,0,A-C Opticals ,Dispensary,Private for profit,U,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Likoma,LK,602,MCM/CHAM/HC/16,602,St Mary's / Chizumulu Health C,Health Centre,Government/public,Rural,,-12.02934,34.62425,,,,,,,
Likoma,LK,601,,601,Likoma/St Peters,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Urban,,-12.0648,34.73657,,,,,,,
Likoma,LK,603,,,ARMY,Dispensary,Government/public,Rural,,-12.08098,34.731191,,,,,,,
,,,,,,,,,,,,,,,,,,
Kasungu,KU,1008,MCM/MOH/DH/13,1008,Kasungu District Hospital,District Hospital,Government/public,Urban,,-13.03579,33.48041,,,,,,,
Kasungu,KU,1005,MCM/MOH/RH/13,1005,Kaluluma Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-12.57759,33.51859,,,,,,,
Kasungu,KU,1001,MCM/MOH/hc/96,1102,Bua Health Centre,Health Centre,Government/public,Rural,,-13.29403,33.53859,,,,,,,
Kasungu,KU,1024,,1024,Chamama Health Centre,Health Centre,Government/public,Rural,,-12.924306,33.776861,,,,,,,
Kasungu,KU,1002,MCM/MOH/HC/93,0,Chamwabvi Health Centre,Health Centre,Government/public,Rural,,-13.10757,33.68528,,,,,,,
Kasungu,KU,1003,MCM/MOH/RH/14,1024,Chulu Health Centre,Health Centre,Government/public,Rural,,-12.82192,33.30816,,,,,,,
Kasungu,KU,1006,MCM/MOH/HC/92,1006,Kamboni Health Centre,Health Centre,Government/public,Rural,,-13.30759,33.18189,,,,,,,
Kasungu,KU,1007,MCM/MOH/HC/97,1007,Kapelula Health Centre,Health Centre,Government/public,Rural,,-12.87767,33.87086,,,,,,,
Kasungu,KU,1033,,1018,Kasalika Health Centre,Health Centre,Government/public,Urban,,-13.03985,33.49866,,,,,,,
Kasungu,KU,1009,,1009,Kawamba Health Centre,Health Centre,Government/public,Rural,,-13.29575,33.3393,,,,,,,
Kasungu,KU,1023,,1023,Khola Health Centre,Health Centre,Government/public,Rural,,-13.34447,33.31649,,,,,,,
Kasungu,KU,1020,,1020,Linyangwa Health Centre,Health Centre,Government/public,Rural,,-13.14379,33.3005,,,,,,,
Kasungu,KU,1027,,1027,Lodjwa Health Centre,Health Centre,Government/public,Rural,,-12.41898,33.52947,,,,,,,
Kasungu,KU,1028,,1028,Mdunga Health Centre,Health Centre,Government/public,Rural,,-12.9931,33.8519,,,,,,,
Kasungu,KU,1010,MCM/MOH/HC/95,1010,Mkhota Health Centre,Health Centre,Government/public,Rural,,-13.56651,33.34348,,,,,,,
Kasungu,KU,1012,MCM/CHAM/HC/45,1012,Mpasazi Health Centre,Health Centre,Government/public,Rural,,-12.583194,33.381861,,,,,,,
Kasungu,KU,1011,MCM/MOH/HC/94,1011,Mtunthama Health Centre,Health Centre,Government/public,Rural,,-13.03145,33.68209,,,,,,,
Kasungu,KU,1034,,0,Ntepa Health Centre,Health Centre,Government/public,Rural,,-12.62202,33.32681,,,,,,,
Kasungu,KU,1022,,1022,Ofesi Health Centre,Health Centre,Government/public,Rural,,-12.77939,33.54904,,,,,,,
Kasungu,KU,1014,MCM/MOH/RH/12,1014,Santhe Health Centre,Health Centre,Government/public,Rural,,-13.46712,33.39378,,,,,,,
Kasungu,KU,1015,MCM/MOH/HC/98,1015,Simlemba Health Centre,Health Centre,Government/public,Rural,,-12.74081,33.6764,,,,,,,
Kasungu,KU,1035,,0,Thupa Health Centre,Health Centre,Government/public,Rural,,-12.682667,33.393528,,,,,,,
Kasungu,KU,1016,,1016,Wimbe Health Centre,Health Centre,Government/public,Rural,,-12.99126,33.68694,,,,,,,
Kasungu,KU,1017,,1030,Chisinga Dispensary,Dispensary,Government/public,Rural,,-12.622028,33.326917,,,,,,,
Kasungu,KU,1004,MCM/MOH/HC/91,1004,Dwangwa Dispensary/Health Center,Dispensary,Government/public,Rural,,-12.88142,33.4537,,,,,,,
Kasungu,KU,1021,,1021,Gogode Dispensary,Dispensary,Government/public,Rural,,-12.88773,33.56134,,,,,,,
Kasungu,KU,1036,,0,Lifupa Dispensary,Dispensary,Government/public,Rural,,-13.048889,33.146944,,,,,,,
Kasungu,KU,1037,,0,Kapyanga Health Post,Health Post,Government/public,Rural,,-12.82384,33.78842,,,,,,,
Kasungu,KU,1013,MCM/CHAM/RH/39,1013,Nkhamenya Rural Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.56606,33.50098,,,,,,,
Kasungu,KU,1019,MCM/CHAM/HC/72,1031,KTFT/Mziza Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.27941,33.50405,,,,,,,
Kasungu,KU,1012,,1012,Newa Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.58333,33.38174,,,,,,,
Kasungu,KU,1032,MCM/CHAM/RH/60,1032,St. Andrews Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.03263,33.67114,,,,,,,
Kasungu,KU,1038,MCM/C/215,1038,St. Faith Anglican Clinic,Dispensary,Christian Health Association of Malawi (CHAM),Rural,,-12.92886,33.7952,,,,,,,
Kasungu,KU,1039,,1018,"Kasalika Private Clinic, Chimb",Dispensary,Private for profit,Urban,,-13.03522,33.49927,,,,,,,
Kasungu,KU,1040,,0,"Titani Private Clinic, Chimpha",Dispensary,Private for profit,Rural,,-12.98491,33.69437,,,,,,,
Kasungu,KU,1041,,0,Yankho Private Clinic,Dispensary,Private for profit,Urban,,-13.04044,33.48111,,,,,,,
Kasungu,KU,1042,,0,Chimwemwe Private Clinic,Dispensary,Private for profit,Rural,,-12.56717,33.51149,,,,,,,
Kasungu,KU,1043,,0,"Mbalunji Private Clinic, Dhlam",Dispensary,Private for profit,Rural,,-12.81406,33.4339,,,,,,,
Kasungu,KU,1044,,0,Gogo Leya Private Clinic,Dispensary,Private for profit,Rural,,-12.70032,33.48899,,,,,,,
Kasungu,KU,1045,,1025,Kalikene Private Clinic,Dispensary,Private for profit,Urban,,-13.0389,33.48138,,,,,,,
Kasungu,KU,1046,,0,"Chipulumutso Private Clinic, K",Dispensary,Private for profit,Rural,,-13.30101,33.52806,,,,,,,
Kasungu,KU,1047,,0,"St. Mark Private Clinic, Magom",Dispensary,Private for profit,Urban,,-13.04312,33.48049,,,,,,,
Kasungu,KU,1048,,0,"Chikumbutso Private Clinic, Ng",Dispensary,Private for profit,Urban,,-13.06516,33.43482,,,,,,,
Kasungu,KU,1049,,0,"Nkuriza, Stanilas, Inernos Pri",Dispensary,Private for profit,Rural,,-12.92741,33.79628,,,,,,,
Kasungu,KU,1050,,0,"Phanga, Chimongo J. Prince Hen",Dispensary,Private for profit,Rural,,-13.21163,33.50302,,,,,,,
Kasungu,KU,1051,,0,"Phiri, Harold K. S. Chisomo Pr",Dispensary,Private for profit,Rural,,-13.4379,33.38416,,,,,,,
Kasungu,KU,1052,,0,"Veruwa, Flyven P. Mphatso Zath",Dispensary,Private for profit,Urban,,-13.0675,33.48297,,,,,,,
Kasungu,KU,1053,MCM/C/069,0,Kasungu BLM,Dispensary,NGO,Urban,,-13.04309,33.47858,,,,,,,
Kasungu,KU,1054,MCM/C/120,0,Kamuzu Academy Clinic,Dispensary,Company,Rural,,-13.02938,33.68843,,,,,,,
Kasungu,KU,1055,,0,Kasungu Prison,Dispensary,Government/public,Urban,,-13.02095,33.45716,,,,,,,
Kasungu,KU,1056,,0,Internals Private Clinic,Dispensary,Private for profit,Rural,,-12.92744,33.79616,,,,,,,
Kasungu,KU,1057,,0,Lisa Private Clinic,Dispensary,Private for profit,Rural,,-13.43941,33.39342,,,,,,,
Kasungu,KU,1058,,0,Mwatitha Private Clinic,Dispensary,Private for profit,Rural,,-13.43552,33.3898,,,,,,,
Kasungu,KU,1059,,0,Mafuphinzi,Health Post,Government/public,Rural,,-12.708423,33.437599,,,,,,,
Kasungu ,KU,1060,,0,Kasungu Engineers Battalion,Health Centre,Government/public,Rural,,,,,,,,,,Mzuzu City
Kasungu ,KU,1061,,1033,Anchor Farm,Dispensary,Company,Rural,,,,,,,,,,
Kasungu ,KU,1062,,1034,Chinyama -KU030,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1063,,1026,Livwezi,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1064,,1029,Mnyanja,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1065,,1030,Mpepa,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1066,MCM/C/269,0,FamilyPlanning Association of Malawi,Dispensary,NGO,Urban,,,,,,,,,,
Kasungu ,KU,1067,MCM/C/201,0,MACRO Kasungu Centre,Dispensary,NGO,Urban,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nkhotakota,KK,1101,MCM/MOH/HC/58,1101,Benga Health Centre,Health Centre,Government/public,Rural,,-13.36846,34.27404,,,,,,,
Nkhotakota,KK,1102,MCM/MOH/HC/60,1102,Bua Health Centre,Health Centre,Government/public,Rural,,-12.7967,34.20971,,,,,,,
Nkhotakota,KK,1103,MCM/CHAM/HC/31,1103,Chididi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.08573,34.31474,,,,,,,
Nkhotakota,KK,1104,MCM/MOH/RH/09,1104,Dwambazi Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-12.23405,33.99194,,,,,,,
Nkhotakota,KK,1105,,1105,Kapili Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.21616,34.31136,,,,,,,
Nkhotakota,KK,1106,MCM/CHAM/HC/32,1106,Liwaladzi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.62054,34.16538,,,,,,,
Nkhotakota,KK,1107,MCM/MOH/HC/61,1107,Mpamantha Health Centre,Health Centre,Government/public,Rural,,-13.06926,34.25224,,,,,,,
Nkhotakota,KK,1108,MCM/MOH/HC/57,1108,Mtosa Health Centre,Health Centre,Government/public,Rural,,-13.43876,34.27365,,,,,,,
Nkhotakota,KK,1109,MCM/MOH/RH/10,1109,Mwansambo Health Centre,Health Centre,Government/public,Rural,,-13.30698,34.11877,,,,,,,
Nkhotakota,KK,1110,MCM/MOH/HC/56,1110,Ngala Health Centre,Health Centre,Government/public,Rural,,-12.36529,34.06552,,,,,,,
Nkhotakota,KK,1111,MCM/MOH/DH/17,1111,Nkhotakota District Hospital,District Hospital,Government/public,Urban,,-12.92508,34.27939,,,,,,,
Nkhotakota,KK,1112,MCM/MOH/HC/59,1112,Nkhunga Health Centre,Health Centre,Government/public,Rural,,-12.48023,34.10842,,,,,,,
Nkhotakota,KK,1113,MCM/CHAM/HC/36,1113,Alinafe Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.38789,34.24292,,,,,,,
Nkhotakota,KK,1114,MCM/MOH/HC/361,1114,Katimbira Health Centre,Health Centre,Government/public,Rural,,-12.75694,34.21737,,,,,,,
Nkhotakota,KK,1115,MCM/CHAM/DH/07,1115,St. Annes Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-12.92747,34.29554,,,,,,,
Nkhotakota,KK,1116,MCM/MOH/HC/360,1116,Malowa Health Centre,Health Centre,Government/public,Rural,,-13.1816,34.25165,,,,,,,
Nkhotakota,KK,1117,,1117,Msenjere Health Centre,Health Centre,Government/public,Rural,,-12.73248,34.17062,,,,,,,
Nkhotakota,KK,1118,MCM/C/92,1118,Matiki Health Centre,Health Centre,Company,Urban,,-12.49874,34.15464,,,,,,,
Nkhotakota,KK,1120,MCM/C/235,1120,Dwangwa Cane Grower Ltd Clinic,Dispensary,Company,Rural,,-12.52114,34.1191,,,,,,,
Nkhotakota,KK,1121,,1121,Kaongozi Dispensary,Dispensary,Government/public,Rural,,-12.43665,34.04998,,,,,,,
Nkhotakota,KK,1122,MCM/CHAM/HC/76,1119,Kasitu Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.30938,34.0343,,,,,,,
Nkhotakota,KK,1133,MCM/C/131,1122,World Medical Fund,Dispensary,NGO,Urban,,-12.91536,34.28338,,,,,,,
Nkhotakota,KK,1123,,0,"Kamanga, Lester P, Hossana Pri",Dispensary,Private for profit,Urban,,-12.92861,34.28305,,,,,,,
Nkhotakota,KK,1124,,0,"Mkoko, Arthur B, Chisomo Priva",Dispensary,Private for profit,Rural,,-12.50588,34.11234,,,,,,,
Nkhotakota,KK,1125,MCM/C/080,0,Nyamvuu Clinic,Dispensary,Company,Rural,,-12.47912,34.13604,,,,,,,
Nkhotakota,KK,1126,MCM/C/089,0,Ukasi Clinic,Dispensary,Company,Rural,,-12.52926,34.16337,,,,,,,
Nkhotakota,KK,1127,MCM/C/065,0,Dwangwa BLM,Dispensary,NGO,Urban,,-12.50975,34.1121,,,,,,,
Nkhotakota,KK,1128,,0,NASO (Nkhotakota Aids Support,Dispensary,NGO,Urban,,-12.92739,34.28465,,,,,,,
Nkhotakota,KK,1129,MCM/C/087,0,Nkhotakota BLM,Dispensary,NGO,Urban,,-12.92429,34.28346,,,,,,,
Nkhotakota,KK,1130,MCM/C/091,0,Central 3 Clinic,Dispensary,Company,Urban,,-12.5033,34.1308,,,,,,,
Nkhotakota,KK,1131,MCM/C/088,0,Kasasa Clinic,Dispensary,Company,Urban,,-12.53753,34.11818,,,,,,,
Nkhotakota,KK,1132,,0,Lupachi,Health Post,Government/public,Rural,,-12.318585,33.779585,,,,,,,
,,,,,,,,,,,,,,,,,,
Ntchisi,NS,1210,MCM/MOH/DH/14,1210,Ntchisi District Hospital,District Hospital,Government/public,Urban,,-13.36345,33.91061,,,,,,,
Ntchisi,NS,1201,MCM/MOH/HC/87,1201,Chinguluwe Health Centre,Health Centre,Government/public,Rural,,-13.26166,33.86851,,,,,,,
Ntchisi,NS,1203,,1203,Kamsonga Health Centre,Health Centre,Government/public,Rural,,-13.27411,33.79949,,,,,,,
Ntchisi,NS,1204,MCM/MOH/HC/89,1204,Kangolwa Health centre,Health Centre,Government/public,Rural,,-13.37046,34.07048,,,,,,,
Ntchisi,NS,1205,,1205,Khuwi Health Centre,Health Centre,Government/public,Rural,,-13.43192,33.83367,,,,,,,
Ntchisi,NS,1206,,1206,Malomo Health Centre,Health Centre,Government/public,Rural,,-13.14861,33.83927,,,,,,,
Ntchisi,NS,1207,MCM/MOH/HC/88,1207,Mkhuzi Health Centre,Health Centre,Government/public,Rural,,-13.36646,33.77662,,,,,,,
Ntchisi,NS,1213,,0,Mndinda Health Centre,Health Centre,Government/public,Rural,,-13.2474,34.05675,,,,,,,
Ntchisi,NS,1209,MCM/MOH/HC/90,1209,Mzandu Health Centre,Health Centre,Government/public,Rural,,-13.48916,34.02738,,,,,,,
Ntchisi,NS,1211,,1211,Nthondo Health Centre,Health Centre,Government/public,Rural,,-13.24723,34.00699,,,,,,,
Ntchisi,NS,1202,MCM/CHAM/HC/23,1202,Chinthembwe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.43326,33.97527,,,,,,,
Ntchisi,NS,1214,,1214,Malambo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.21307,33.76244,,,,,,,
Ntchisi,NS,1215,,0,Asimec Clinic,Dispensary,Private for profit,Urban,,-13.3587,33.91619,,,,,,,
Ntchisi,NS,1216,,0,Fancy Private Clinic,Dispensary,Private for profit,Rural,,-13.35325,33.9191,,,,,,,
Ntchisi,NS,1217,,0,SAMBAKUSI,Health Post,Government/public,Rural,,-13.349658,33.983158,,,,,,,
Ntchisi,NS,1218,,0,Kalimanjira,Dispensary,Government/public,Rural,,,,,,,,,,
Ntchisi,NS,1219,MCM/CHAM/RH/6,0,Mpherere Health Center,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
,,,,,,,D,,,,,,,,,,,
Dowa,DA,1307,MCM/MOH/DH/15,1307,Dowa District Hospital,District Hospital,Government/public,Urban,,-13.65432,33.93625,,,,,,,
Dowa,DA,1313,MCM/MOH/RH/11,1313,Mponela Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-13.53264,33.73713,,,,,,,
Dowa,DA,1301,MCM/MOH/HC/64,1301,Bowe Health Centre,Health Centre,Government/public,Rural,,-13.27878,33.68392,,,,,,,
Dowa,DA,1302,MCM/MOH/HC/63,1302,Chakhaza Health Centre,Health Centre,Government/public,Rural,,-13.44421,33.64676,,,,,,,
Dowa,DA,1303,MCM/MOH/HC/69,1303,Chankhungu Health Centre,Health Centre,Government/public,Rural,,-13.76492,34.01471,,,,,,,
Dowa,DA,1305,MCM/MOH/HC/66,1305,Chinkhwiri Health Centre,Health Centre,Government/public,Rural,,-13.38557,33.72106,,,,,,,
Dowa,DA,1306,,1306,Chisepo Health Centre,Health Centre,Government/public,Rural,,-13.63492,33.47017,,,,,,,
Dowa,DA,1321,,1321,Chizolowondo Health Centre,Health Centre,Government/public,Rural,,-13.46336,33.51328,,,,,,,
Dowa,DA,1308,MCM/MOH/HC/71,1308,Dzaleka Health Centre,Health Centre,Government/public,Rural,,-13.66168,33.87042,,,,,,,
Dowa,DA,1309,MCM/MOH/HC/62,1309,Dzoole Health Centre,Health Centre,Government/public,Rural,,-13.58537,33.66156,,,,,,,
Dowa,DA,1310,MCM/MOH/HC/68,1310,Kayembe Health Centre,Health Centre,Government/public,Rural,,-13.64256,33.58301,,,,,,,
Dowa,DA,1312,MCM/MOH/HC/67,1312,Mbingwa Health Centre,Health Centre,Government/public,Rural,,-13.54425,33.51485,,,,,,,
Dowa,DA,1314,MCM/MOH/HC/65,1314,Msakambewa Health Centre,Health Centre,Government/public,Rural,,-13.55296,33.89719,,,,,,,
Dowa,DA,1316,,1316,Mvera Army Health Centre,Health Centre,Government/public,Rural,,-13.77963,34.1398,,,,,,,
Dowa,DA,1318,,1318,Mwangala Health Centre,Health Centre,Government/public,Rural,,-13.48744,33.9234,,,,,,,
Dowa,DA,1319,,1319,Nalunga Health Centre,Health Centre,Government/public,Rural,,-13.64378,34.0567,,,,,,,
Dowa,DA,1320,MCM/MOH/HC/70,1320,Thonje Health Centre,Health Centre,Government/public,Rural,,-13.72624,34.23725,,,,,,,
Dowa,DA,1311,MCM/CHAM/DH/06,1311,Madisi Mission Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.40712,33.60813,,,,,,,
Dowa,DA,1315,,-1,Mthengathenga Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.67165,33.77623,,,,,,,
Dowa,DA,1317,MCM/CHAM/HC/59,1317,Mvera Mission Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.73673,34.12876,,,,,,,
Dowa,DA,1323,MCM/CHAM/HC/3,0,St. Mary's Rehabilitation Heal,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.7252,34.03707,,,,,,,
Dowa,DA,1324,,1324,Kasese/Lifeline Malawi Health,Health Centre,Private for profit,Rural,,-13.33338,33.57629,,,,,,,
Dowa,DA,1325,,0,Dalitso Private Clinic,Dispensary,Private for profit,Urban,,-13.42237,33.60932,,,,,,,
Dowa,DA,1322,,0,"Kanyika, Mwakalinga M. Alinafe",Dispensary,Private for profit,Urban,,-13.54849,33.7421,,,,,,,
Dowa,DA,1326,,0,Mamoyo Private Clinic,Dispensary,Private for profit,Rural,,-13.53532,33.73979,,,,,,,
Dowa,DA,1327,,0,Towoo's Private Clinic,Dispensary,Private for profit,Rural,,-13.70579,33.60186,,,,,,,
Dowa,DA,1328,,0,MBA-Esita Private Clinic,Dispensary,Private for profit,Rural,,-13.28282,33.68994,,,,,,,
Dowa,DA,1329,MCM/C/073,0,BLM Mponela Clinic,Dispensary,NGO,Urban,,-13.53197,33.73802,,,,,,,
Dowa,DA,1330,MCM/C/118,0,Family Planning Association Of,Dispensary,NGO,Urban,,-13.65834,33.93289,,,,,,,
Dowa,DA,1331,,0,Matekenya,Dispensary,Government/public,Urban,,-13.564647,34.047714,,,,,,,
Dowa,DA,1332,,0,Mondwe,Health Post,Government/public,Urban,,-13.49199,33.443872,,,,,,,
Dowa,DA,1333,,0,Mtambalika,Health Post,Orant Charities Africa,Urban,,-13.277929,33.597239,,,,,,,
Dowa,DA,1334,,0,Kaputalambwe,Health Post,Christian Health Association of Malawi (CHAM),Urban,,-13.765337,33.898429,,,,,,,
Dowa,DA,1335,MCM/CHAM/RH/10,0,Fransisco Palau Rural Hospital/Mtengowanthenga Dream Project,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Dowa,DA,1336,,1336,Chezi Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Salima,SA,1415,MCM/MOH/DH/09,1415,Salima District Hospital,District Hospital,Government/public,Urban,,-13.76214,34.42199,,,,,,,
Salima,SA,1422,,1422,Chagunda Health Centre,Health Centre,Government/public,Rural,,-13.88028,34.36721,,,,,,,
Salima,SA,1401,MCM/MOH/HC/164,1401,Chinguluwe Health Centre,Health Centre,Government/public,Rural,,-13.66454,34.38503,,,,,,,
Salima,SA,1402,MCM/MOH/HC/165,1402,Chipoka Health Centre,Health Centre,Government/public,Rural,,-13.98973,34.51545,,,,,,,
Salima,SA,1406,MCM/MOH/HC/167,1406,Khombedza Health Centre,Health Centre,Government/public,Rural,,-13.59695,34.31111,,,,,,,
Salima,SA,1407,MCM/MOH/HC/171,1407,Lifuwu Health Centre,Health Centre,Government/public,Rural,,-13.67915,34.58878,,,,,,,
Salima,SA,1420,,1420,MAFCO,Health Centre,Government/public,Rural,,-13.78419,34.60338,,,,,,,
Salima,SA,1408,MCM/MOH/HC/168,1408,Maganga Health Centre,Health Centre,Government/public,Rural,,-13.84681,34.5591,,,,,,,
Salima,SA,1409,MCM/MOH/HC/170,0,Makioni Health Centre,Health Centre,Government/public,Rural,,-13.58599,34.197,,,,,,,
Salima,SA,1410,MCM/MOH/HC/166,1410,Mchoka Health Centre,Health Centre,Government/public,Rural,,-13.92593,34.48984,,,,,,,
Salima,SA,1425,,1425,Parachute Battalion,Health Centre,Government/public,Rural,,-13.74314,34.58826,,,,,,,
